frame,time,temp,a0,temp_pres,pressure,altitude,humidity,temp_hum
378,233603,97.38,1023,22.70,99479,155.43,30.50,23.30
379,234217,97.38,1023,22.70,99468,155.43,30.50,23.30
380,234835,97.63,1022,22.70,99470,155.26,30.50,23.30
381,235450,97.63,1023,22.70,99474,155.18,30.50,23.30
382,236065,97.81,1023,22.70,99480,155.26,30.50,23.30
383,236680,97.81,1022,22.70,99468,155.77,30.50,23.30
384,237313,98.00,1022,22.70,99471,155.09,30.90,23.30
385,237927,98.00,1023,22.70,99469,155.52,30.90,23.30
386,238542,98.13,1023,22.70,99468,155.35,30.90,23.30
387,239157,98.13,1023,22.70,99478,155.60,30.90,23.30
388,239776,98.25,1023,22.70,99473,155.43,31.40,23.40
389,240391,98.25,1023,22.70,99473,155.35,31.40,23.40
390,241006,98.38,1023,22.70,99472,155.35,31.40,23.40
391,241620,98.38,1023,22.70,99468,155.26,31.40,23.40
392,242238,98.44,1023,22.70,99474,155.52,34.40,23.50
393,242853,98.44,1021,22.70,99472,155.60,34.40,23.50
394,243476,98.56,1023,22.70,99471,155.77,34.40,23.50
395,244090,98.56,1023,22.70,99470,155.77,34.40,23.50
396,244709,98.63,1023,22.70,99470,155.35,37.20,23.60
397,245323,98.63,1023,22.70,99468,155.69,37.20,23.60
398,245939,98.69,1023,22.70,99469,155.52,37.20,23.60
399,246553,98.69,1023,22.70,99473,155.43,37.20,23.60
400,247172,98.75,1023,22.70,99476,155.43,36.20,23.60
401,247787,98.75,1023,22.70,99468,155.77,36.20,23.60
402,248401,98.81,1023,22.70,99473,155.69,36.20,23.60
403,249024,98.81,1023,22.70,99467,155.69,36.20,23.60
404,249643,98.88,1023,22.70,99466,155.77,37.50,23.70
405,250257,98.88,1023,22.70,99472,155.52,37.50,23.70
406,250872,98.94,1023,22.70,99469,156.02,37.50,23.70
407,251487,98.94,1023,22.70,99469,155.77,37.50,23.70
408,252105,98.94,1023,22.70,99468,155.94,38.90,23.70
409,252721,98.94,1023,22.70,99468,155.43,38.90,23.70
410,253335,99.00,1023,22.70,99468,156.19,38.90,23.70
411,253950,99.00,1023,22.70,99466,155.69,38.90,23.70
412,254576,99.06,1023,22.80,99472,155.52,38.50,23.80
413,255192,99.06,1023,22.70,99473,155.35,38.50,23.80
414,255806,99.06,1023,22.80,99470,155.52,38.50,23.80
415,256421,99.06,1023,22.80,99480,155.26,38.50,23.80
416,257039,99.13,1022,22.80,99475,154.84,41.40,23.90
417,257654,99.13,1023,22.80,99473,155.09,41.40,23.90
418,258269,99.13,1023,22.80,99472,155.01,41.40,23.90
419,258884,99.13,1023,22.80,99479,155.35,41.40,23.90
420,259503,99.19,1023,22.80,99472,155.26,40.70,24.00
421,260117,99.19,1022,22.80,99475,155.69,40.70,24.00
422,260740,99.19,1022,22.80,99472,155.77,40.70,24.00
423,261355,99.19,1023,22.80,99472,155.35,40.70,24.00
424,261972,99.19,1023,22.80,99471,155.35,49.80,24.20
425,262588,99.19,1022,22.80,99469,155.52,49.80,24.20
426,263202,99.19,1023,22.80,99474,155.52,49.80,24.20
427,263818,99.19,1023,22.80,99474,155.43,49.80,24.20
428,264436,99.19,1023,22.80,99477,155.60,47.70,24.20
429,265051,99.19,1023,22.80,99473,155.77,47.70,24.20
430,265665,99.19,1023,22.80,99472,155.26,47.70,24.20
431,266289,99.19,1023,22.80,99473,155.94,47.70,24.20
432,266906,99.13,1023,22.80,99471,156.02,45.80,24.30
433,267522,99.13,1023,22.80,99471,155.18,45.80,24.30
434,268136,99.13,1023,22.80,99469,155.35,45.80,24.30
435,268751,99.13,1023,22.80,99479,155.77,45.80,24.30
436,269370,99.06,1022,22.80,99471,155.09,44.60,24.40
437,269984,99.06,1023,22.80,99470,155.69,44.60,24.40
438,270600,99.06,1023,22.80,99470,155.52,44.60,24.40
439,271214,99.06,1023,22.80,99472,155.60,44.60,24.40
440,271833,99.06,1023,22.80,99465,155.60,47.50,24.50
441,272455,99.06,1021,22.80,99467,155.77,47.50,24.50
442,273071,99.06,1023,22.80,99472,156.02,47.50,24.50
443,273685,99.06,1023,22.80,99465,155.52,47.50,24.50
444,274302,99.06,1023,22.80,99470,155.43,45.30,24.60
